step,pairA,pairB,contactIndex,featureId,depth,offsetX,offsetY,offsetZ,normalX,normalY,normalZ
19,0,0,0,-4,-0.034024835,-0.5,-0.53402483,-0.5,0,1,0
19,0,0,1,-21,-0.034024835,0.5,-0.53402483,0.5,0,1,0
19,0,0,2,-5,-0.034024835,-0.5,-0.53402483,0.5,0,1,0
19,0,0,3,-20,-0.034024835,0.5,-0.53402483,-0.5,0,1,0
20,0,0,0,-21,0.0010012002,0.5000184,-0.4990765,0.49990395,-6.7936726E-13,1,0
20,0,0,1,-4,0.00084582856,-0.4999816,-0.4990765,-0.5000961,-6.7936726E-13,1,0
20,0,0,2,-20,0.00080903416,0.5000184,-0.4990765,-0.5000961,-6.7936726E-13,1,0
20,0,0,3,-5,0.0010379945,-0.4999816,-0.4990765,0.49990395,-6.7936726E-13,1,0
21,0,0,0,-4,0.0025276323,-0.5000009,-0.49758077,-0.49989074,-2.6020202E-14,1,0
21,0,0,1,-21,0.0023108341,0.49999914,-0.49758077,0.50010926,-2.6020202E-14,1,0
21,0,0,2,-5,0.0023091095,-0.50000083,-0.49758077,0.50010926,-2.6020202E-14,1,0
21,0,0,3,-20,0.0025293569,0.49999914,-0.49758077,-0.49989074,-2.6020202E-14,1,0
22,0,0,0,-4,0.0014739695,-0.50001377,-0.49865574,-0.49985647,-2.425875E-12,0.99999994,0
22,0,0,1,-21,0.0012144977,0.49998626,-0.49865574,0.50014347,-2.425875E-12,0.99999994,0
22,0,0,2,-5,0.001186982,-0.50001377,-0.49865574,0.50014347,-2.425875E-12,0.99999994,0
22,0,0,3,-20,0.0015014852,0.49998623,-0.49865574,-0.49985647,-2.425875E-12,0.99999994,0
23,0,0,0,-4,0.00079795177,-0.5000074,-0.49929917,-0.4998955,-2.7519165E-13,1,0
23,0,0,1,-21,0.000603711,0.49999264,-0.49929917,0.5001045,-2.7519165E-13,1,0
23,0,0,2,-5,0.0005889939,-0.50000733,-0.49929917,0.5001045,-2.7519165E-13,1,0
23,0,0,3,-20,0.00081266894,0.49999264,-0.49929917,-0.4998955,-2.7519165E-13,1,0
24,0,0,0,-4,0.00048672163,-0.5000022,-0.499568,-0.49994308,-2.5682055E-13,1,0
24,0,0,1,-21,0.0003773073,0.49999776,-0.499568,0.5000569,-2.5682055E-13,1,0
24,0,0,2,-5,0.00037285156,-0.5000022,-0.499568,0.5000569,-2.5682055E-13,1,0
24,0,0,3,-20,0.0004911774,0.49999776,-0.499568,-0.49994308,-2.5682055E-13,1,0
25,0,0,0,-4,0.0003559921,-0.50000024,-0.49966925,-0.49997452,-8.964238E-15,1,0
25,0,0,1,-21,0.00030550026,0.49999976,-0.49966925,0.50002545,-8.964238E-15,1,0
25,0,0,2,-5,0.00030504153,-0.50000024,-0.49966925,0.50002545,-8.964238E-15,1,0
