step,pairA,pairB,contactIndex,featureId,depth,offsetX,offsetY,offsetZ,normalX,normalY,normalZ
1,2,3,0,111,0,0.5,0.5,0.5,0,-1,0
1,2,3,1,109,0,-0.5,0.5,-0.5,0,-1,0
1,2,3,2,94,0,0.5,0.5,-0.5,0,-1,0
1,2,3,3,126,0,-0.5,0.5,0.5,0,-1,0
1,0,1,0,111,0,0.5,0.5,0.5,0,-1,0
1,0,1,1,109,0,-0.5,0.5,-0.5,0,-1,0
1,0,1,2,94,0,0.5,0.5,-0.5,0,-1,0
1,0,1,3,126,0,-0.5,0.5,0.5,0,-1,0
1,1,2,0,111,0,0.5,0.5,0.5,0,-1,0
1,1,2,1,109,0,-0.5,0.5,-0.5,0,-1,0
1,1,2,2,94,0,0.5,0.5,-0.5,0,-1,0
1,1,2,3,126,0,-0.5,0.5,0.5,0,-1,0
1,0,0,0,-4,-0,-0.5,-0.5,-0.5,0,1,0
1,0,0,1,-21,0,0.5,-0.5,0.5,0,1,0
1,0,0,2,-5,0,-0.5,-0.5,0.5,0,1,0
1,0,0,3,-20,0,0.5,-0.5,-0.5,0,1,0
2,2,3,0,-21,0.00035919232,0.5000478,0.49959826,0.49999475,-0.00022002977,-1,1.0499937E-05
2,2,3,1,109,0.00017818605,-0.49990195,0.49986434,-0.49997112,-0.00022002977,-1,1.0499937E-05
2,2,3,2,94,0.00030263662,0.5000478,0.49964434,-0.49997112,-0.00022002977,-1,1.0499937E-05
2,2,3,3,45,0.00023474178,-0.49990195,0.4998183,0.49999475,-0.00022002977,-1,1.0499937E-05
2,0,1,0,111,0.00073185726,0.49987507,0.49934143,0.4999669,-7.554141E-05,-1,-2.7627336E-06
2,0,1,1,-4,0.00048312114,-0.50007474,0.4994436,-0.49999863,-7.554141E-05,-1,-2.7627336E-06
2,0,1,2,47,0.0007079847,0.49987507,0.49936804,-0.49999863,-7.554141E-05,-1,-2.7627336E-06
2,0,1,3,126,0.0005069937,-0.5000747,0.49941695,0.4999669,-7.554141E-05,-1,-2.7627336E-06
