step,pairA,pairB,contactIndex,featureId,depth,offsetX,offsetY,offsetZ,normalX,normalY,normalZ
1,1,2,0,0,-0.0031949282,-0.04,0.5,0,0.07974522,-0.99681526,-0
1,4,5,0,0,-0.0031949282,0.04,0.5,0,-0.07974522,-0.99681526,-0
1,0,0,0,0,0,-0,-0.5,-0,0,1,0
2,1,2,0,0,-0.0031950474,-0.04,0.50000006,0,0.07974521,-0.99681526,-0
2,0,1,0,0,-0.0078066587,0.04,0.49871695,0.06,-0.0793803,-0.9897076,-0.119070455
2,4,5,0,0,-0.0031949282,0.04,0.5,0,-0.07974522,-0.99681526,-0
2,3,4,0,0,-0.010346293,-0.04,0.49999988,0.06,0.07918077,-0.98975945,-0.11877116
2,6,7,0,0,-0.010346532,0.04,0.5,0.06,-0.079180755,-0.98975945,-0.11877113
2,5,6,0,0,-0.010346532,-0.04,0.5,-0.06,0.079180755,-0.98975945,0.11877113
2,2,3,0,0,-0.010346532,0.04,0.5,-0.06,-0.079180755,-0.98975945,0.11877113
2,0,0,0,0,0.00015890598,-0,-0.49992055,-0,0,1,0
3,1,2,0,0,-0.0031950474,-0.04,0.50000006,0,0.07974521,-0.99681526,-0
3,0,1,0,0,-0.0024889708,0.04,0.4960303,0.06,-0.07980137,-0.9895975,-0.11970206
3,4,5,0,0,-0.0031949282,0.04,0.5,0,-0.07974522,-0.99681526,-0
3,3,4,0,0,-0.010346532,-0.04,0.5,0.06,0.079180755,-0.98975945,-0.11877113
3,6,7,0,0,-0.010346532,0.04,0.5,0.06,-0.079180755,-0.98975945,-0.11877113
3,5,6,0,0,-0.010346532,-0.04,0.5,-0.06,0.079180755,-0.98975945,0.11877113
3,2,3,0,0,-0.010346532,0.04,0.5,-0.06,-0.079180755,-0.98975945,0.11877113
3,0,0,0,0,0.00023555756,-0,-0.49988222,-0,0,1,0
4,1,2,0,0,0.0002194643,-0.039995104,0.4982877,1.0408461E-05,0.08000777,-0.99679416,-2.0821491E-05
4,0,1,0,0,0.0006913543,0.040013906,0.4944146,0.06006303,-0.08008318,-0.9895133,-0.120209165
4,4,5,0,0,-0.0031949282,0.04,0.5,0,-0.07974522,-0.99681526,-0
4,3,4,0,0,-0.010346532,-0.04,0.5,0.06,0.079180755,-0.98975945,-0.11877113
4,6,7,0,0,-0.010346532,0.04,0.5,0.06,-0.079180755,-0.98975945,-0.11877113
4,5,6,0,0,-0.010346532,-0.04,0.5,-0.06,0.079180755,-0.98975945,0.11877113
4,2,3,0,0,-0.009287,0.039952308,0.49945843,-0.060084544,-0.07916937,-0.9897253,0.11906335
4,0,0,0,0,0.0006712675,-0,-0.49966437,-0,0,1,0
5,1,2,0,0,0.0010855794,-0.04039672,0.49782085,-7.418729E-05,0.080881245,-0.9967237,0.00014853582
5,0,1,0,0,0.0017191768,0.040310044,0.49382046,0.060477864,-0.08075893,-0.9893418,-0.12116403
5,4,5,0,0,-0.0031949282,0.04,0.5,0,-0.07974522,-0.99681526,-0
5,3,4,0,0,-0.010346532,-0.04,0.5,0.06,0.079180755,-0.98975945,-0.11877113
5,6,7,0,0,-0.010346532,0.04,0.5,0.06,-0.079180755,-0.98975945,-0.11877113
5,5,6,0,0,-0.010346532,-0.04,0.5,-0.06,0.079180755,-0.98975945,0.11877113
5,2,3,0,0,-0.0012571812,0.04000043,0.49536762,-0.06033132,-0.079900414,-0.9894913,0.12051113
5,0,0,0,0,0.0012677908,-0,-0.4993661,-0,0,1,0
6,1,2,0,0,0.0020861626,-0.04102532,0.4972675,-4.9822032E-05,0.08222216,-0.9966141,9.9852376E-05
6,0,1,0,0,0.0024326444,0.040691946,0.49331278,0.061415352,-0.08158235,-0.9890315,-0.12313024
6,4,5,0,0,-0.0031949282,0.04,0.5,0,-0.07974522,-0.99681526,-0
6,3,4,0,0,-0.0021208525,-0.039969984,0.49579632,0.060414795,0.07977079,-0.9894941,-0.12057387
6,6,7,0,0,-0.010346532,0.04,0.5,0.06,-0.079180755,-0.98975945,-0.11877113
6,5,6,0,0,-0.010346532,-0.04,0.5,-0.06,0.079180755,-0.98975945,0.11877113
6,2,3,0,0,0.0010383129,0.040022213,0.4940604,-0.06151144,-0.08012763,-0.98914784,0.12315074
6,0,0,0,0,0.0017489195,-0,-0.49912554,-0,0,1,0
7,1,2,0,0,0.0033695102,-0.041994102,0.49654257,-0.00023379177,0.08427216,-0.9964427,0.0004691644
7,0,1,0,0,0.0032199025,0.041134972,0.4926547,0.06318161,-0.0825357,-0.98849225,-0.1267714
7,4,5,0,0,0.0006452799,0.039726462,0.49809548,0.00034785827,-0.07950423,-0.9968342,-0.0006961658
7,3,4,0,0,0.0016028881,-0.039679382,0.49384168,0.061197866,0.07948617,-0.989269,-0.12259223
7,6,7,0,0,-0.010346532,0.04,0.5,0.06,-0.079180755,-0.98975945,-0.11877113
7,5,6,0,0,-0.006767869,-0.039908707,0.49817324,-0.060217287,0.07928085,-0.98964864,0.11962497
7,2,3,0,0,0.0021312833,0.040031195,0.4932375,-0.06363779,-0.08023339,-0.98858196,0.12754743
7,0,0,0,0,0.0023150444,-0,-0.49884248,-0,0,1,0
8,1,2,0,0,0.004385948,-0.043413296,0.4959099,-0.0006670281,0.08720909,-0.99618906,0.0013399331
8,0,1,0,0,0.004072547,0.041643344,0.49181032,0.06600233,-0.08362726,-0.9876429,-0.13254446
8,3,4,0,0,0.0027680397,-0.03957369,0.493031,0.06302549,0.07936707,-0.98879904,-0.12640086
8,5,6,0,0,0.00043082237,-0.03954597,0.4944661,-0.061025295,0.07912602,-0.9893584,0.12210319
8,6,7,0,0,-0.0068804026,0.03984628,0.49823955,0.0601808,-0.07914799,-0.98966974,-0.11953912
