engine,step,time,body,positionX,positionY,positionZ,orientationX,orientationY,orientationZ,orientationW,linearVelocityX,linearVelocityY,linearVelocityZ,angularVelocityX,angularVelocityY,angularVelocityZ,linearForceApproxX,linearForceApproxY,linearForceApproxZ,angularForceApproxX,angularForceApproxY,angularForceApproxZ
bepu,0,0,sphere01,0,0.5,-0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bepu,0,0,sphere02,0.08,1.5,0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bepu,0,0,sphere03,0,2.5,0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bepu,0,0,sphere04,0.08,3.5,-0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bepu,0,0,sphere05,0,4.5,0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bepu,0,0,sphere06,0.08,5.5,0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bepu,0,0,sphere07,0,6.5,-0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bepu,0,0,sphere08,0.08,7.5,0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bepu,1,0.016666668,sphere01,0,0.49984112,-0.06,0,0,0,1,0,-0.009531975,0,0,0,0,0,-0.5719184,0,0,0,0
bepu,1,0.016666668,sphere02,0.08,1.497275,0.06,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
bepu,1,0.016666668,sphere03,0,2.497275,0.06,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
bepu,1,0.016666668,sphere04,0.08,3.497275,-0.06,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
bepu,1,0.016666668,sphere05,0,4.497275,0.06,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
bepu,1,0.016666668,sphere06,0.08,5.497275,0.06,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
bepu,1,0.016666668,sphere07,0,6.497275,-0.06,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
bepu,1,0.016666668,sphere08,0.08,7.497275,0.06,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
bepu,2,0.033333335,sphere01,0,0.49976444,-0.06,0,0,0,1,0,-0.0046016723,0,0,0,0,0,0.29581812,0,0,0,0
bepu,2,0.033333335,sphere02,0.08,1.491825,0.06,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
bepu,2,0.033333335,sphere03,0,2.491825,0.06,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
bepu,2,0.033333335,sphere04,0.08,3.491825,-0.06,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
bepu,2,0.033333335,sphere05,0,4.491825,0.06,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
bepu,2,0.033333335,sphere06,0.08,5.491825,0.06,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
bepu,2,0.033333335,sphere07,0,6.491825,-0.06,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
bepu,2,0.033333335,sphere08,0.08,7.491825,0.06,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
bepu,3,0.050000004,sphere01,5.779752E-05,0.49932873,-0.05997778,4.1419982E-05,3.9368507E-07,-7.25518E-05,1,0.0034678509,-0.02614213,0.001333009,0.004970398,4.7242207E-05,-0.008706215,0.20807104,-1.2924274,0.07998054,0.29822385,0.0028345322,-0.52237284
bepu,3,0.050000004,sphere02,0.0800856,1.4881579,0.060148276,0.00046746084,-2.463891E-05,-0.0002142514,0.99999994,0.005136155,-0.22003011,0.00889677,0.056095302,-0.0029566693,-0.02571017,0.30816928,6.4181943,0.53380615,3.365718,-0.17740016,-1.54261
bepu,3,0.050000004,sphere03,9.5380165E-05,2.4847333,0.060169093,-0.00042273977,-3.381917E-05,0.0004551105,0.9999998,0.0057228096,-0.42550197,0.010145752,-0.05072877,-0.0040583005,0.05461326,0.34336856,-5.9101167,0.6087451,-3.0437262,-0.24349801,3.2767954
bepu,3,0.050000004,sphere04,0.08,3.4836502,-0.06,0,0,0,1,0,-0.49050003,0,0,0,0,0,-9.81,0,0,0,0
bepu,3,0.050000004,sphere05,0,4.48365,0.06,0,0,0,1,0,-0.49050003,0,0,0,0,0,-9.81,0,0,0,0
bepu,3,0.050000004,sphere06,0.08,5.48365,0.06,0,0,0,1,0,-0.49050003,0,0,0,0,0,-9.81,0,0,0,0
bepu,3,0.050000004,sphere07,0,6.48365,-0.06,0,0,0,1,0,-0.49050003,0,0,0,0,0,-9.81,0,0,0,0
bepu,3,0.050000004,sphere08,0.08,7.48365,0.06,0,0,0,1,0,-0.49050003,0,0,0,0,0,-9.81,0,0,0,0
bepu,4,0.06666667,sphere01,0.00017249018,0.49873224,-0.060144722,-9.836609E-05,1.397695E-06,-0.00020817154,1,0.0068815593,-0.035789806,-0.010016454,-0.016774325,0.0001223723,-0.016274357,0.2048225,-0.5788606,-0.6809678,-1.3046833,0.0045078048,-0.4540885
bepu,4,0.06666667,sphere02,0.08079258,1.4863732,0.060811013,0.0015674678,-7.33428E-05,-0.0007667064,0.9999985,0.042419106,-0.10707802,0.0397641,0.1320013,-0.0058417628,-0.06629412,2.2369769,6.777125,1.8520397,4.5543594,-0.1731056,-2.435037
bepu,4,0.06666667,sphere03,-8.611387E-07,2.482015,0.06066264,-0.0016528335,-0.0001402971,0.0018522928,0.9999969,-0.005774478,-0.16310291,0.029612724,-0.1476113,-0.012773668,0.1676625,-0.6898372,15.743944,1.1680182,-5.812952,-0.52292204,6.782954
bepu,4,0.06666667,sphere04,0.08,3.4727502,-0.06,0,0,0,1,0,-0.65400004,0,0,0,0,0,-9.81,0,0,0,0
bepu,4,0.06666667,sphere05,0,4.47275,0.06,0,0,0,1,0,-0.65400004,0,0,0,0,0,-9.81,0,0,0,0
bepu,4,0.06666667,sphere06,0.08,5.47275,0.06,0,0,0,1,0,-0.65400004,0,0,0,0,0,-9.81,0,0,0,0
bepu,4,0.06666667,sphere07,0,6.47275,-0.06,0,0,0,1,0,-0.65400004,0,0,0,0,0,-9.81,0,0,0,0
bepu,4,0.06666667,sphere08,0.08,7.47275,0.06,0,0,0,1,0,-0.65400004,0,0,0,0,0,-9.81,0,0,0,0
bepu,5,0.083333336,sphere01,0.00056227896,0.49825105,-0.06053778,-0.0004499875,0.00010754578,-0.0006330999,0.9999997,0.023387324,-0.02887106,-0.023583476,-0.04219199,0.012741537,-0.050992593,0.99034584,0.4151248,-0.8140212,-1.5250598,0.7571499,-2.0830941
bepu,5,0.083333336,sphere02,0.08194617,1.4848766,0.06229293,0.0039091567,-0.00013115752,-0.0011679347,0.9999917,0.06921511,-0.089789644,0.08891497,0.28100193,-0.007077798,-0.04813825,1.6077603,1.0373027,2.949052,8.940038,-0.074162096,1.0893521
bepu,5,0.083333336,sphere03,-0.00010445558,2.4794116,0.062193286,-0.0038805222,-0.00053202617,0.003523015,0.9999861,-0.0062156664,-0.15620098,0.09183893,-0.26726538,-0.047171377,0.20052889,-0.026471306,0.41411605,3.7335725,-7.179244,-2.0638623,1.9719832
bepu,5,0.083333336,sphere04,0.07993997,3.4675324,-0.06082959,-0.00048134662,-0.000184029,-0.001830162,0.9999982,-0.003601953,-0.31306395,-0.04977543,-0.057761624,-0.022083491,-0.21961956,-0.21611716,20.456165,-2.9865255,-3.4656973,-1.3250093,-13.177173
bepu,5,0.083333336,sphere05,0,4.459125,0.06,0,0,0,1,0,-0.81750005,0,0,0,0,0,-9.81,0,0,0,0
bepu,5,0.083333336,sphere06,0.08,5.459125,0.06,0,0,0,1,0,-0.81750005,0,0,0,0,0,-9.81,0,0,0,0
