engine,step,time,body,positionX,positionY,positionZ,orientationX,orientationY,orientationZ,orientationW,linearVelocityX,linearVelocityY,linearVelocityZ,angularVelocityX,angularVelocityY,angularVelocityZ,linearForceApproxX,linearForceApproxY,linearForceApproxZ,angularForceApproxX,angularForceApproxY,angularForceApproxZ
bepu,0,0,box01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bepu,0,0,box02,0.9,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bepu,0,0,box03,-0.45,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bepu,0,0,box04,0.45,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bepu,0,0,box05,-0.25,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bepu,0,0,box06,0.25,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bepu,0,0,box07,-0.1,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bepu,0,0,box08,0.1,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bepu,1,0.016666668,box01,0,0.997275,0,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
bepu,1,0.016666668,box02,0.9,2.997275,0,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
bepu,1,0.016666668,box03,-0.45,4.997275,0,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
bepu,1,0.016666668,box04,0.45,6.997275,0,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
bepu,1,0.016666668,box05,-0.25,8.997275,0,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
bepu,1,0.016666668,box06,0.25,10.997275,0,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
bepu,1,0.016666668,box07,-0.1,12.997275,0,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
bepu,1,0.016666668,box08,0.1,14.997275,0,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
bepu,2,0.033333335,box01,0,0.991825,0,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
bepu,2,0.033333335,box02,0.9,2.991825,0,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
bepu,2,0.033333335,box03,-0.45,4.991825,0,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
bepu,2,0.033333335,box04,0.45,6.991825,0,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
bepu,2,0.033333335,box05,-0.25,8.991825,0,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
bepu,2,0.033333335,box06,0.25,10.991825,0,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
bepu,2,0.033333335,box07,-0.1,12.991825,0,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
