step,pair,hasManifold,contactCount,penetration,normalX,normalY,normalZ,hasOrientedManifold,orientedContactCount,orientedPenetration,orientedNormalX,orientedNormalY,orientedNormalZ,axisContact,axisPenetration,axisIndex,firstUpY,secondUpY,firstPositionX,firstPositionY,secondPositionX,secondPositionY
0,ground-box01,true,4,0,0,-1,0,true,4,0,-0,-1,-0,true,0,1,1,1,0,-0.5,0,0.5
0,ground-box02,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,1,0,-0.5,0,1.5
0,ground-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,1,0,-0.5,0,2.5
0,ground-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,1,0,-0.5,0,3.5
0,box01-box02,true,4,0,0,-1,0,true,4,0,-0,-1,-0,true,0,1,1,1,0,0.5,0,1.5
0,box01-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,1,0,0.5,0,2.5
0,box01-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,1,0,0.5,0,3.5
0,box02-box03,true,4,0,0,-1,0,true,4,0,-0,-1,-0,true,0,1,1,1,0,1.5,0,2.5
0,box02-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,1,0,1.5,0,3.5
0,box03-box04,true,4,0,0,-1,0,true,4,0,-0,-1,-0,true,0,1,1,1,0,2.5,0,3.5
1,ground-box01,true,4,0,0,-1,0,true,4,0,-0,-1,-0,true,0,1,1,1,0,-0.5,2.8164648E-05,0.50003433
1,ground-box02,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,1,0,-0.5,7.4744654E-05,1.4988109
1,ground-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,1,0,-0.5,4.0487612E-05,2.498462
1,ground-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,1,0,-0.5,-2.5651605E-05,3.4983304
1,box01-box02,true,4,0.0012825727,0,-1,0,true,4,0.0012825727,-5.632928E-05,-1,-1.230829E-05,true,0.0012825727,1,1,1,2.8164648E-05,0.50003433,7.4744654E-05,1.4988109
1,box01-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,1,2.8164648E-05,0.50003433,4.0487612E-05,2.498462
1,box01-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,1,2.8164648E-05,0.50003433,-2.5651605E-05,3.4983304
1,box02-box03,true,4,0.00042819977,0,-1,0,true,4,0.0003787279,3.8675975E-05,-1,1.084994E-05,true,0.00042819977,1,1,1,7.4744654E-05,1.4988109,4.0487612E-05,2.498462
1,box02-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,1,7.4744654E-05,1.4988109,-2.5651605E-05,3.4983304
1,box03-box04,true,4,0.00024092197,0,-1,0,true,4,0.0001450777,7.277589E-05,-1,3.6371446E-05,true,0.00024092197,1,1,1,4.0487612E-05,2.498462,-2.5651605E-05,3.4983304
2,ground-box01,true,4,0,0,-1,0,true,4,0,-0,-1,-0,true,0,1,1,1,0,-0.5,7.939288E-05,0.5000801
2,ground-box02,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,1,0,-0.5,0.00022245871,1.4971642
2,ground-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,1,0,-0.5,0.00013036354,2.4962761
2,ground-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,1,0,-0.5,-8.5380365E-05,3.4959154
2,box01-box02,true,4,0.0030466318,0,-1,0,true,4,0.0030466318,-0.00015877876,-1,-1.3295795E-06,true,0.0030466318,1,1,1,7.939288E-05,0.5000801,0.00022245871,1.4971642
2,box01-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,1,7.939288E-05,0.5000801,0.00013036354,2.4962761
2,box01-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,1,7.939288E-05,0.5000801,-8.5380365E-05,3.4959154
2,box02-box03,true,4,0.0010662079,0,-1,0,true,4,0.0009775162,6.7024455E-05,-1,3.44864E-05,true,0.0010662079,1,1,1,0.00022245871,1.4971642,0.00013036354,2.4962761
2,box02-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,1,0.00022245871,1.4971642,-8.5380365E-05,3.4959154
2,box03-box04,true,4,0.00063169,0,-1,0,true,4,0.00041145086,0.00023301705,-1,2.1598142E-05,true,0.00063169,1,1,1,0.00013036354,2.4962761,-8.5380365E-05,3.4959154
3,ground-box01,true,4,0,0,-1,0,true,4,0,-0,-1,-0,true,0,1,1,0.99999994,0,-0.5,0.00014472657,0.5001495
3,ground-box02,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,1,0,-0.5,0.00038642582,1.495419
3,ground-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999994,0,-0.5,0.00023846157,2.4939096
3,ground-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999994,0,-0.5,-0.00013121488,3.4933026
3,box01-box02,true,4,0.005001545,0,-1,0,true,4,0.005001545,-0.00028942517,-0.99999994,-9.750483E-06,true,0.005001545,1,0.99999994,1,0.00014472657,0.5001495,0.00038642582,1.495419
3,box01-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.99999994,0.99999994,0.00014472657,0.5001495,0.00023846157,2.4939096
3,box01-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.99999994,0.99999994,0.00014472657,0.5001495,-0.00013121488,3.4933026
3,box02-box03,true,4,0.0018782616,0,-1,0,true,4,0.0016350746,0.00013985293,-1,0.00010338388,true,0.0018782616,1,1,0.99999994,0.00038642582,1.495419,0.00023846157,2.4939096
3,box02-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999994,0.00038642582,1.495419,-0.00013121488,3.4933026
