engine,step,time,body,positionX,positionY,positionZ,orientationX,orientationY,orientationZ,orientationW,linearVelocityX,linearVelocityY,linearVelocityZ,angularVelocityX,angularVelocityY,angularVelocityZ,linearForceApproxX,linearForceApproxY,linearForceApproxZ,angularForceApproxX,angularForceApproxY,angularForceApproxZ
helengine,0,0,sphere01,0,0.5,-0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
helengine,0,0,sphere02,0.08,1.5,0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
helengine,0,0,sphere03,0,2.5,0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
helengine,0,0,sphere04,0.08,3.5,-0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
helengine,0,0,sphere05,0,4.5,0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
helengine,0,0,sphere06,0.08,5.5,0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
helengine,0,0,sphere07,0,6.5,-0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
helengine,0,0,sphere08,0.08,7.5,0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
helengine,1,0.016666668,sphere01,0,0.5,-0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
helengine,1,0.016666668,sphere02,0.08,1.497275,0.06,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
helengine,1,0.016666668,sphere03,0,2.497275,0.06,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
helengine,1,0.016666668,sphere04,0.08,3.497275,-0.06,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
helengine,1,0.016666668,sphere05,0,4.497275,0.06,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
helengine,1,0.016666668,sphere06,0.08,5.497275,0.06,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
helengine,1,0.016666668,sphere07,0,6.497275,-0.06,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
helengine,1,0.016666668,sphere08,0.08,7.497275,0.06,0,0,0,1,0,-0.16350001,0,0,0,0,0,-9.81,0,0,0,0
helengine,2,0.033333335,sphere01,0,0.5,-0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
helengine,2,0.033333335,sphere02,0.08,1.491825,0.06,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
helengine,2,0.033333335,sphere03,0,2.491825,0.06,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
helengine,2,0.033333335,sphere04,0.08,3.491825,-0.06,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
helengine,2,0.033333335,sphere05,0,4.491825,0.06,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
helengine,2,0.033333335,sphere06,0.08,5.491825,0.06,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
helengine,2,0.033333335,sphere07,0,6.491825,-0.06,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
helengine,2,0.033333335,sphere08,0.08,7.491825,0.06,0,0,0,1,0,-0.32700002,0,0,0,0,0,-9.81,0,0,0,0
helengine,3,0.050000004,sphere01,-0.000593756,0.4998046,-0.060890228,0,0,0,1,-0.0007900682,-0.045230005,-0.0011302684,0.64499235,-0.003335825,-0.37546358,-0.047404088,-2.7138002,-0.0678161,38.69954,-0.20014949,-22.527813
helengine,3,0.050000004,sphere02,0.08075533,1.4889265,0.06089161,0,0,0,1,-0.009847294,-0.17991638,-0.015072613,0.5598747,0.0026931537,-0.22087827,-0.5908376,8.825018,-0.9043567,33.59248,0.1615892,-13.252696
helengine,3,0.050000004,sphere03,-0.0001615592,2.485647,0.059998617,0,0,0,1,-0.004722066,-0.24304807,-0.015016052,0.07368615,0.0060289796,0.07639892,-0.28332397,5.0371165,-0.90096307,4.421169,0.36173874,4.583935
helengine,3,0.050000004,sphere04,0.08,3.4836502,-0.06,0,0,0,1,0,-0.49050003,0,0,0,0,0,-9.81,0,0,0,0
helengine,3,0.050000004,sphere05,0,4.48365,0.06,0,0,0,1,0,-0.49050003,0,0,0,0,0,-9.81,0,0,0,0
helengine,3,0.050000004,sphere06,0.08,5.48365,0.06,0,0,0,1,0,-0.49050003,0,0,0,0,0,-9.81,0,0,0,0
helengine,3,0.050000004,sphere07,0,6.48365,-0.06,0,0,0,1,0,-0.49050003,0,0,0,0,0,-9.81,0,0,0,0
helengine,3,0.050000004,sphere08,0.08,7.48365,0.06,0,0,0,1,0,-0.49050003,0,0,0,0,0,-9.81,0,0,0,0
helengine,4,0.06666667,sphere01,-0.0015357152,0.4995181,-0.062295724,0.005374902,-2.7798365E-05,-0.0031288434,0.9999807,7.9144724E-05,-0.047579423,-0.00010392675,0.9165677,-0.0011254861,-0.5920481,0.05215277,-0.14096506,0.061580498,16.29452,0.13262032,-12.995071
helengine,4,0.06666667,sphere02,0.0820496,1.4878997,0.062037986,0.0046656034,2.2442855E-05,-0.0018406446,0.9999874,-0.009693681,-0.20532742,-0.0136706075,0.8406119,0.0054093157,-0.31397295,0.00921674,-1.5246623,0.084120326,16.844229,0.16296971,-5.5856805
helengine,4,0.06666667,sphere03,-0.00085271354,2.4842932,0.05986035,0.0006140513,5.02415E-05,0.0006366577,0.9999997,-0.0013976006,-0.34051138,-0.012307851,-0.049517065,0.00072469085,0.05256004,0.19946793,-5.8477983,0.16249207,-7.392193,-0.3182573,-1.4303325
helengine,4,0.06666667,sphere04,0.08008285,3.4737647,-0.06012293,0,0,0,1,-0.0069750305,-0.4086978,-0.004039565,-0.12723729,-0.005810112,-0.1332014,-0.41850182,4.908133,-0.2423739,-7.634237,-0.3486067,-7.992084
helengine,4,0.06666667,sphere05,0,4.47275,0.06,0,0,0,1,0,-0.65400004,0,0,0,0,0,-9.81,0,0,0,0
helengine,4,0.06666667,sphere06,0.08,5.47275,0.06,0,0,0,1,0,-0.65400004,0,0,0,0,0,-9.81,0,0,0,0
helengine,4,0.06666667,sphere07,0,6.47275,-0.06,0,0,0,1,0,-0.65400004,0,0,0,0,0,-9.81,0,0,0,0
